Formaldehyde_reductive_amination.proc: total_reaction: 582, top 1: 0 (0%), top 2: 0 (0%), top 3: 0 (0%), and failed: 582 (100%)
Hydroxy_to_triflyloxy.proc: total_reaction: 911, top 1: 0 (0%), top 2: 0 (0%), top 3: 0 (0%), and failed: 911 (100%)
1_2_4-Oxadiazole_synthesis.proc: total_reaction: 696, top 1: 0 (0%), top 2: 0 (0%), top 3: 0 (0%), and failed: 696 (100%)
O-Acetylation.proc: total_reaction: 751, top 1: 221 (29%), top 2: 13 (2%), top 3: 5 (1%), and failed: 512 (68%)
Chloro_thioether_synthesis.proc: total_reaction: 782, top 1: 80 (10%), top 2: 25 (3%), top 3: 24 (3%), and failed: 653 (84%)
Triflyloxy_Suzuki_coupling.proc: total_reaction: 371, top 1: 6 (2%), top 2: 2 (1%), top 3: 2 (1%), and failed: 361 (97%)
Fluorination.proc: total_reaction: 584, top 1: 0 (0%), top 2: 0 (0%), top 3: 0 (0%), and failed: 584 (100%)
Iodo_N-arylation.proc: total_reaction: 827, top 1: 21 (3%), top 2: 13 (2%), top 3: 4 (0%), and failed: 789 (95%)
Palladium_catalyzed_cyanation.proc: total_reaction: 519, top 1: 0 (0%), top 2: 0 (0%), top 3: 0 (0%), and failed: 519 (100%)
Carboxylic_acid_to_alcohol_reduction.proc: total_reaction: 873, top 1: 0 (0%), top 2: 0 (0%), top 3: 1 (0%), and failed: 872 (100%)
O-Ac_deprotection.proc: total_reaction: 1087, top 1: 9 (1%), top 2: 20 (2%), top 3: 30 (3%), and failed: 1028 (95%)
Carboxylic_acid___sulfonamide_condensation.proc: total_reaction: 679, top 1: 385 (57%), top 2: 35 (5%), top 3: 17 (3%), and failed: 242 (36%)
Carboxy_ester_to_carbamoyl.proc: total_reaction: 665, top 1: 40 (6%), top 2: 220 (33%), top 3: 43 (6%), and failed: 362 (54%)
CO2H-Bn_deprotection.proc: total_reaction: 659, top 1: 64 (10%), top 2: 2 (0%), top 3: 0 (0%), and failed: 593 (90%)
Tetrazole_synthesis.proc: total_reaction: 527, top 1: 0 (0%), top 2: 0 (0%), top 3: 0 (0%), and failed: 527 (100%)
Alcohol_to_ketone_oxidation.proc: total_reaction: 760, top 1: 1 (0%), top 2: 0 (0%), top 3: 0 (0%), and failed: 759 (100%)
N-Acetylation.proc: total_reaction: 1008, top 1: 462 (46%), top 2: 22 (2%), top 3: 1 (0%), and failed: 523 (52%)
N-Phth_deprotection.proc: total_reaction: 626, top 1: 0 (0%), top 2: 0 (0%), top 3: 0 (0%), and failed: 626 (100%)
Cyano_to_carbamoyl.proc: total_reaction: 768, top 1: 0 (0%), top 2: 0 (0%), top 3: 0 (0%), and failed: 768 (100%)
